direction,b5,b6,T,M,NK,CTL,B,logT,phase,newton_converged,residual_raw,residual_scaled,max_real_eig,stable
down,0.0001,6.592346221482804e-7,9.738739114994282e6,486963.20192845154,717.2248230212465,15.774020415533268,205.27104593294038,6.988502776540118,tumor_dominant,true,1.7121237760875374e-10,3.766194824319538e-14,-0.09495452023125725,true
down,0.0001,7.00420353617303e-7,2931.721143835181,646.5859992133625,208757.88853436284,796.7435855807406,118121.66437568927,3.467270770293516,intermediate,true,0.00019802865381279844,4.655188258014245e-9,-0.00801170905249471,true
down,0.0001,7.44179166686788e-7,2417.2286619456795,620.8614082371159,212010.78369937706,688.2314094994152,121823.38318327922,3.383497364318791,intermediate,true,0.00016962633117145742,5.278903655143566e-9,-0.012267966749593668,true
down,0.0001,7.906718148188353e-7,2064.0215495759317,603.2010561296894,214303.26830793943,607.2270776914904,124501.93612313988,3.3149245881052924,intermediate,true,4.997737141820835e-5,2.533259944778211e-9,-0.015570308455721252,true
down,0.0001,8.400690945598977e-7,1787.7120975779337,589.3855895532072,216131.51142149328,539.8474260553356,126680.88927497795,3.2525404442592913,intermediate,true,1.6475595202791737e-5,3.992092142273498e-10,-0.018440727686054145,true
down,0.0001,8.925524729832274e-7,1559.1566303952022,577.9578189593707,217667.52588612365,481.27961771031096,128541.742425917,3.1931682011119187,intermediate,true,1.2600642094184877e-5,4.0127314623213795e-10,-0.02105963135325715,true
down,0.0001,9.483147543308075e-7,1364.2574834983075,568.2128652739055,218994.70666465219,429.20190404863985,130172.30882780252,3.135214565748224,intermediate,true,1.6130189123941818e-5,6.547688439590133e-10,-0.023514008896483397,true
down,0.0001,1.0075607883038165e-6,1194.965012738251,559.748247691527,220160.72367246365,382.29937642175656,131622.59246935058,3.077718474805428,intermediate,true,9.737095297168707e-5,2.3055775878288168e-9,-0.025852984038938796,true
down,0.0001,1.070508222603562e-6,1046.187343365858,552.3093605370664,221195.7430897879,339.75032248833605,132924.0737615919,3.020024384555319,intermediate,true,7.677363828406669e-5,4.487971064516377e-9,-0.02810686658814584,true
down,0.0001,1.1373883024874944e-6,914.4657345836168,545.7232755991256,222120.26551778533,301.0042148761183,134098.0253952027,2.961642093520565,controlled,true,0.0001127263271882839,3.4975648548089935e-9,-0.030295289660775687,true
down,0.0001,1.2084467202775105e-6,797.320147417756,539.8660068207815,222949.0011803865,265.671165705351,135159.63053135455,2.9021770898146353,controlled,true,8.690867025507032e-5,3.967896614929142e-9,-0.0324311702430634,true
down,0.0001,1.2839445179413834e-6,692.8930632144849,534.6446510728707,223692.99211256043,233.46086375992456,136120.24760025676,2.8412925459097518,controlled,true,1.9444704321358586e-5,1.4150255586377935e-9,-0.03452283204601042,true
down,0.0001,1.3641590460629988e-6,599.740079455097,529.9870020351383,224360.8645283578,204.14647548427968,136988.7522820086,2.7786866076515797,controlled,true,1.565352431498468e-5,1.4549557067448208e-9,-0.0365752092935975,true
down,0.0001,1.4493849827243648e-6,516.6998644976826,525.8349914185477,224959.60445244747,177.54185906850046,137772.36928687396,2.7140780513100067,controlled,true,4.3131572056154255e-6,7.989071874469752e-10,-0.038590536342555534,true
down,0.0001,1.5399354160423085e-6,442.8095642381465,522.1404769109545,225495.06503616902,153.48669256421726,138477.21862846182,2.6471966571819148,controlled,true,1.0515360372664873e-5,6.465538004941288e-10,-0.04056874763919247,true
down,0.0001,1.6361429943367788e-6,377.24798147009994,518.8623923814316,225972.30869384986,131.83638901162612,139108.6846908881,2.577776619077944,controlled,true,0.0001620103348614066,8.057055932160854e-9,-0.042507695480153734,true
down,0.0001,1.7383611481559481e-6,319.29622467997507,515.9648077080656,226395.84450829533,112.45523040682107,139671.67193324142,2.5055518196806275,controlled,true,7.728972877885099e-5,3.663590536349625e-9,-0.04440324681578153,true
down,0.0001,1.8469653886474714e-6,268.3098809909849,513.415489382049,226769.7891099278,95.21170149135892,140170.77312885976,2.43025228798684,controlled,true,0.00010668217601050856,4.965234533981586e-9,-0.046249279795357354,true
down,0.0001,1.962354687045552e-6,223.69944359346707,511.1849647542607,227097.98630654716,79.97536218503029,140610.39596916147,2.3516019970093107,controlled,true,0.00017341778584523126,8.035255182133677e-9,-0.048037645561656885,true
down,0.0001,2.0849529403415604e-6,184.91629064169967,509.24580887140047,227384.08588770902,66.61494868687795,140994.84028222904,2.269317445854859,controlled,true,0.00013022932080275496,6.0591575271978545e-9,-0.04975808769893003,true
down,0.0001,2.215210528522574e-6,151.44294113611588,507.57215113651336,227631.59655608493,54.99739527312636,141328.34564909092,2.183107319179529,controlled,true,9.804386581890867e-5,4.608861476423857e-9,-0.05139818110347359,true
down,0.0001,2.3536059690984453e-6,122.786530637304,506.1393278209683,227843.91723121572,44.987600765125485,141615.11297871184,2.092673391145029,controlled,true,3.1517490242549684e-5,1.5040728235542937e-9,-0.0529433676165271,true
down,0.0001,2.5006476749956425e-6,98.4748665134244,504.92374592634513,228024.35803857294,36.44878565602498,141859.31659104867,1.9977133650335845,controlled,true,6.059963652660372e-5,2.9473064012651698e-9,-0.05437725859372226,true
down,0.0001,2.6568758222755607e-6,78.05437501016932,503.90272091360055,228176.13955333232,29.243347605114913,142065.08609421775,1.8979259095648497,controlled,true,4.977861772204051e-5,2.47553391787178e-9,-0.055682421754479135,true
down,0.0001,2.822864334538752e-6,61.08971174311698,503.05448923852003,228302.38849393383,23.234077748007863,142236.487285725,1.7930196436007866,controlled,true,8.273886214738013e-5,4.21940446825564e-9,-0.05684203172522357,true
down,0.0001,2.9992229913048705e-6,47.16456845667173,502.35823124947063,228406.1220291535,18.285653239972063,142377.48807111164,1.6827276734620928,controlled,true,6.363128477460123e-5,3.335987991907177e-9,-0.0578425892565987,true
