b6,tumor0,nk0,T365,Tfinal,logTfinal,final_regime,regime_code
1.5e-6,10592.537251772897,100.0,9.721460689612119e6,9.721460689612133e6,6.987731569042204,tumor_dominant,2
1.5e-6,15848.93192461114,100.0,9.721460689615361e6,9.721460689612051e6,6.987731569042199,tumor_dominant,2
1.5e-6,23713.737056616552,100.0,9.721460689610617e6,9.721460689612158e6,6.987731569042205,tumor_dominant,2
1.5e-6,35481.33892335753,100.0,9.721460689608783e6,9.721460689612104e6,6.987731569042202,tumor_dominant,2
1.5e-6,53088.444423098794,100.0,9.721460689612426e6,9.721460689612132e6,6.987731569042203,tumor_dominant,2
1.5e-6,79432.82347242821,100.0,9.721460689615102e6,9.721460689612046e6,6.987731569042199,tumor_dominant,2
1.5e-6,118850.22274370189,100.0,9.721460689610867e6,9.721460689612051e6,6.987731569042199,tumor_dominant,2
1.5e-6,177827.94100389228,100.0,9.721460689610634e6,9.721460689612053e6,6.987731569042199,tumor_dominant,2
1.5e-6,266072.50597988087,100.0,9.72146068960928e6,9.721460689612065e6,6.9877315690422,tumor_dominant,2
1.5e-6,398107.1705534969,100.0,9.721460689609472e6,9.721460689612126e6,6.987731569042203,tumor_dominant,2
1.5e-6,595662.1435290109,100.0,9.721460689610705e6,9.721460689612158e6,6.987731569042205,tumor_dominant,2
1.5e-6,891250.9381337459,100.0,9.721460689609578e6,9.721460689612063e6,6.9877315690422,tumor_dominant,2
1.5e-6,1.333521432163324e6,100.0,9.721460689611046e6,9.721460689612051e6,6.987731569042199,tumor_dominant,2
1.5e-6,1.9952623149688789e6,100.0,9.721460689610666e6,9.721460689612053e6,6.987731569042199,tumor_dominant,2
1.5e-6,2.985382618917957e6,100.0,9.7214606896099e6,9.721460689612059e6,6.9877315690422,tumor_dominant,2
1.5e-6,4.466835921509635e6,100.0,9.72146068961497e6,9.721460689612046e6,6.987731569042199,tumor_dominant,2
1.5e-6,6.683439175686149e6,100.0,9.721460689614912e6,9.721460689612066e6,6.9877315690422,tumor_dominant,2
1.5e-6,1.0e7,100.0,9.721460689612305e6,9.72146068961214e6,6.987731569042204,tumor_dominant,2
1.5e-6,1.0,125.89254117941675,473.7846889303978,473.77863903953374,2.6764911712009467,controlled,0
1.5e-6,1.4962356560944334,125.89254117941675,473.7852073544225,473.7786349070062,2.6764911674207976,controlled,0
1.5e-6,2.2387211385683394,125.89254117941675,473.78583993201704,473.77864097342643,2.676491172969937,controlled,0
1.5e-6,3.3496543915782766,125.89254117941675,473.78662943936683,473.7786392343692,2.6764911713791686,controlled,0
1.5e-6,5.011872336272722,125.89254117941675,473.7876396138775,473.77863979769836,2.676491171894463,controlled,0
1.5e-6,7.498942093324558,125.89254117941675,473.7889782649576,473.7786414655979,2.6764911734201413,controlled,0
1.5e-6,11.220184543019636,125.89254117941675,473.7908346629168,473.77864072025403,2.6764911727383525,controlled,0
1.5e-6,16.788040181225607,125.89254117941675,473.7935819808944,473.7786410111477,2.676491173004442,controlled,0
1.5e-6,25.118864315095795,125.89254117941675,473.79804556718653,473.778640828773,2.6764911728376184,controlled,0
1.5e-6,37.583740428844415,125.89254117941675,473.8065237420895,473.77864199378604,2.6764911739032913,controlled,0
1.5e-6,56.23413251903491,125.89254117941675,473.8285519912063,473.7786593885079,2.6764911898147727,controlled,0
1.5e-6,84.13951416451951,125.89254117941675,474.0048854738446,473.7786964186099,2.676491223687332,controlled,0
1.5e-6,125.89254117941675,125.89254117941675,9.721460688902965e6,9.721460689612055e6,6.9877315690422,tumor_dominant,2
1.5e-6,188.36490894898,125.89254117941675,9.721460689542415e6,9.721460689612046e6,6.987731569042199,tumor_dominant,2
1.5e-6,281.8382931264455,125.89254117941675,9.721460689590909e6,9.72146068961205e6,6.987731569042199,tumor_dominant,2
1.5e-6,421.6965034285823,125.89254117941675,9.721460689599665e6,9.721460689612085e6,6.987731569042201,tumor_dominant,2
1.5e-6,630.957344480193,125.89254117941675,9.72146068960418e6,9.721460689612074e6,6.987731569042201,tumor_dominant,2
1.5e-6,944.0608762859235,125.89254117941675,9.721460689607367e6,9.72146068961214e6,6.987731569042204,tumor_dominant,2
1.5e-6,1412.537544622754,125.89254117941675,9.721460689610075e6,9.721460689612048e6,6.987731569042199,tumor_dominant,2
1.5e-6,2113.489039836648,125.89254117941675,9.721460689613461e6,9.721460689612078e6,6.987731569042201,tumor_dominant,2
1.5e-6,3162.2776601683795,125.89254117941675,9.721460689608233e6,9.72146068961211e6,6.987731569042202,tumor_dominant,2
1.5e-6,4731.512589614803,125.89254117941675,9.721460689615045e6,9.721460689612051e6,6.987731569042199,tumor_dominant,2
1.5e-6,7079.457843841381,125.89254117941675,9.7214606896097e6,9.721460689612057e6,6.9877315690422,tumor_dominant,2
1.5e-6,10592.537251772897,125.89254117941675,9.721460689613836e6,9.721460689612087e6,6.987731569042201,tumor_dominant,2
1.5e-6,15848.93192461114,125.89254117941675,9.721460689614637e6,9.721460689612044e6,6.987731569042199,tumor_dominant,2
1.5e-6,23713.737056616552,125.89254117941675,9.721460689612847e6,9.721460689612115e6,6.987731569042203,tumor_dominant,2
1.5e-6,35481.33892335753,125.89254117941675,9.721460689609662e6,9.721460689612132e6,6.987731569042203,tumor_dominant,2
1.5e-6,53088.444423098794,125.89254117941675,9.721460689614266e6,9.721460689612081e6,6.987731569042201,tumor_dominant,2
1.5e-6,79432.82347242821,125.89254117941675,9.721460689613435e6,9.721460689612044e6,6.987731569042199,tumor_dominant,2
1.5e-6,118850.22274370189,125.89254117941675,9.721460689609887e6,9.721460689612059e6,6.9877315690422,tumor_dominant,2
1.5e-6,177827.94100389228,125.89254117941675,9.721460689609444e6,9.721460689612063e6,6.9877315690422,tumor_dominant,2
1.5e-6,266072.50597988087,125.89254117941675,9.721460689608648e6,9.721460689612081e6,6.987731569042201,tumor_dominant,2
1.5e-6,398107.1705534969,125.89254117941675,9.721460689611036e6,9.721460689612167e6,6.987731569042205,tumor_dominant,2
1.5e-6,595662.1435290109,125.89254117941675,9.721460689612813e6,9.721460689612117e6,6.987731569042203,tumor_dominant,2
1.5e-6,891250.9381337459,125.89254117941675,9.7214606896089e6,9.721460689612072e6,6.9877315690422,tumor_dominant,2
